ID	Gene Symbol	S1	S2	S3	S4	S5	S6	S7	N1	N2	N3	N4	N5
206172_at	IL13RA2	4.539275139	4.217022844	4.410377944	6.180420429	5.130540867	7.400069196	5.252890988	9.491712082	8.905382561	10.14496255	8.368653219	10.14461551
200953_s_at	CCND2	4.456912866	4.381911824	7.800785615	7.79659929	4.751094138	6.034522511	6.536122572	9.963830492	8.730889484	9.486778117	7.481264277	9.103748964
1563933_a_at	PLD5	4.800733601	4.09219788	6.032839344	7.273396918	5.90932786	5.356120662	2.995521629	7.468666568	6.447156219	6.920428774	7.574825244	8.745186321
200952_s_at	CCND2	3.804105549	4.043264615	5.698746696	5.224742916	4.422081245	4.73325535	5.19673383	7.191731682	6.432765944	7.361398707	5.28463638	6.581560474
201427_s_at	SEPP1	4.79864023	5.750822403	6.131722718	7.52927976	6.091506817	7.140248443	7.712506438	9.68506063	8.492384761	7.813048526	7.062910607	8.694073823
213791_at	PENK	5.726772546	4.340286248	6.271163055	6.460241444	8.732274543	8.332316778	4.665835202	9.009681307	8.910253458	9.656358469	7.326424972	8.987115092
200951_s_at	CCND2	4.174268023	4.315384686	5.908331193	5.804599805	4.372174556	5.213833962	5.176934548	7.121119635	6.219704659	7.349209429	5.535550811	6.581214647
228186_s_at	RSPO3	6.306312953	6.989520179	5.24050237	7.94293809	7.068295297	7.932007321	6.046712703	8.603464967	7.965811557	9.246377916	6.970120794	9.146603372
205113_at	NEF3	4.916908014	4.54181252	4.503052715	4.755210755	4.489641493	4.055002155	4.061426171	5.088553579	5.264111602	6.970164325	4.737211235	6.649674988
204597_x_at	STC1	5.070932593	5.173202552	4.175041751	6.35139769	5.270971533	5.363991179	3.962999798	6.219619463	5.920619091	6.950113215	5.690897901	7.593525564
204596_s_at	STC1	5.240053687	5.126292229	4.861306454	5.900023645	5.394410745	5.344796864	4.60204717	6.26980208	6.023842559	7.06184783	5.816310029	7.418401315
228570_at	BTBD11	4.550814322	4.54772057	3.859877588	5.359649706	4.78551964	5.138890922	3.801873277	5.692629239	6.347419584	6.871704244	4.789862038	5.714700237
204595_s_at	STC1	6.236578044	6.556658173	5.303680964	7.324581328	6.342880445	6.603177289	5.270376013	7.356993088	7.006146809	8.160250506	6.885839537	8.514264598
232746_at	CMKOR1	4.212696174	5.489382607	4.875201332	5.466735863	4.023817591	5.305033889	7.837775744	7.895300703	7.468099863	6.989847418	5.951815575	7.132274502
204470_at	CXCL1	5.246329184	5.062909575	4.464590959	5.323087741	4.423828483	5.014550161	4.769544981	5.470582381	6.604281183	7.259310632	5.016507077	5.645947036
230746_s_at	STC1	4.704846287	5.205417975	3.611672803	6.043514183	4.783517668	4.825508672	3.716849226	5.830867017	5.589144564	6.394867672	5.40053451	7.107539246
200644_at	MARCKSL1	7.172353786	7.633000631	7.134361255	8.334910557	8.040233609	8.042257075	6.443660895	8.92360063	8.743010671	9.453115755	7.967965225	8.687256411
209529_at	PPAP2C	4.988620916	5.558340463	4.824796875	5.904183396	5.298746679	4.718271289	4.938905124	6.331248485	6.967631209	6.250469613	5.907368691	6.230633669
216598_s_at	CCL2	8.763471487	8.476037639	8.376450444	9.53168222	7.543565668	8.215695033	8.812939425	9.295463789	9.890589136	10.09570953	9.16344134	10.18856594
204363_at	F3	8.463956007	7.720166178	8.651628556	8.187539457	7.563639514	9.017674506	9.715287067	9.508105102	9.790494966	10.21510936	9.248577371	9.750188564
227935_s_at	PCGF5	6.751161171	7.035616422	6.880146662	5.957110831	8.046618949	6.373606793	6.447287157	6.085510207	5.864165474	5.465587418	6.175074092	5.938143096
226326_at	PCGF5	9.030505082	9.354471041	8.768321951	7.948926259	9.673999173	8.491472332	8.805091264	7.880968507	7.771851963	7.367873024	8.482794255	7.892566684
